matchID,start_datetime,end_datetime
13,2025-05-31 07:13:25,2025-05-31 07:34:25
43,2025-01-15 04:03:40,2025-01-15 04:43:40
57,2025-08-20 12:28:38,2025-08-20 13:03:38
80,2026-01-26 17:41:16,2026-01-26 18:02:16
7,2025-03-30 15:51:09,2025-03-30 16:09:09
90,2026-01-16 03:16:10,2026-01-16 03:46:10
99,2025-09-20 00:52:52,2025-09-20 01:10:52
73,2025-01-12 05:22:55,2025-01-12 05:38:55
98,2025-11-04 09:35:20,2025-11-04 09:56:20
61,2025-04-19 11:09:24,2025-04-19 11:20:24
36,2025-03-08 16:18:43,2025-03-08 16:33:43
37,2025-05-23 06:31:02,2025-05-23 06:53:02
84,2025-06-06 21:08:34,2025-06-06 21:42:34
35,2026-01-22 05:04:59,2026-01-22 05:33:59
30,2025-05-30 01:20:52,2025-05-30 01:43:52
23,2025-12-17 10:24:32,2025-12-17 10:54:32
81,2025-01-23 17:11:45,2025-01-23 17:29:45
44,2025-02-16 00:20:13,2025-02-16 00:41:13
68,2025-08-10 12:05:03,2025-08-10 12:37:03
31,2025-03-11 13:18:41,2025-03-11 13:46:41
30,2025-06-24 19:07:39,2025-06-24 19:44:39
26,2025-01-02 18:16:06,2025-01-02 18:36:06
74,2025-10-09 20:35:14,2025-10-09 21:13:14
54,2025-01-17 22:30:11,2025-01-17 22:42:11
39,2025-03-29 01:15:40,2025-03-29 01:41:40
85,2025-11-07 01:21:29,2025-11-07 01:41:29
46,2025-10-21 02:00:50,2025-10-21 02:24:50
62,2025-09-23 12:30:08,2025-09-23 12:58:08
68,2025-08-18 12:32:39,2025-08-18 12:47:39
61,2025-04-04 21:09:20,2025-04-04 21:30:20
2,2026-01-24 12:40:33,2026-01-24 13:14:33
73,2025-01-25 04:59:37,2025-01-25 05:12:37
86,2025-12-17 22:52:16,2025-12-17 23:06:16
84,2025-10-16 14:16:51,2025-10-16 14:34:51
58,2025-09-07 13:40:53,2025-09-07 14:18:53
57,2025-08-14 09:34:11,2025-08-14 09:46:11
60,2025-07-14 04:38:06,2025-07-14 05:16:06
98,2025-05-12 15:50:24,2025-05-12 16:06:24
96,2025-08-11 13:32:13,2025-08-11 13:53:13
42,2025-03-02 07:40:13,2025-03-02 08:09:13
35,2026-02-21 02:20:32,2026-02-21 02:54:32
2,2025-08-19 14:11:51,2025-08-19 14:39:51
41,2025-01-19 22:37:32,2025-01-19 23:00:32
64,2025-04-07 12:50:57,2025-04-07 13:25:57
90,2025-02-08 17:07:04,2025-02-08 17:44:04
56,2025-10-18 23:56:19,2025-10-19 00:18:19
59,2025-02-01 19:45:35,2025-02-01 20:02:35
67,2025-03-13 19:59:10,2025-03-13 20:23:10
3,2025-03-20 20:48:42,2025-03-20 20:59:42
8,2026-01-21 20:44:45,2026-01-21 21:06:45
6,2025-05-06 12:20:09,2025-05-06 12:42:09
81,2025-06-02 11:28:08,2025-06-02 11:43:08
41,2025-04-11 14:18:26,2025-04-11 14:44:26
94,2025-05-01 19:45:03,2025-05-01 20:25:03
79,2025-09-02 21:54:09,2025-09-02 22:08:09
22,2025-09-18 17:51:45,2025-09-18 18:10:45
14,2025-03-26 12:49:47,2025-03-26 13:28:47
79,2025-10-26 04:32:33,2025-10-26 04:45:33
24,2025-10-15 16:24:27,2025-10-15 16:45:27
2,2025-02-02 12:03:47,2025-02-02 12:31:47
51,2026-02-21 19:59:53,2026-02-21 20:14:53
41,2025-07-28 12:22:53,2025-07-28 12:41:53
6,2025-12-24 19:38:48,2025-12-24 20:15:48
78,2025-05-09 19:37:16,2025-05-09 19:50:16
34,2025-06-10 00:27:58,2025-06-10 00:51:58
77,2026-01-11 17:16:01,2026-01-11 17:33:01
9,2026-02-10 21:15:12,2026-02-10 21:43:12
43,2025-08-28 20:48:12,2025-08-28 21:24:12
3,2025-08-31 17:50:25,2025-08-31 18:08:25
45,2025-03-21 00:02:14,2025-03-21 00:34:14
16,2025-12-27 14:40:44,2025-12-27 15:10:44
68,2025-08-19 21:50:57,2025-08-19 22:09:57
85,2025-08-09 20:19:29,2025-08-09 20:34:29
87,2025-08-19 02:13:58,2025-08-19 02:39:58
23,2025-07-16 03:01:58,2025-07-16 03:24:58
7,2025-04-08 05:17:48,2025-04-08 05:56:48
63,2025-09-27 09:32:48,2025-09-27 10:01:48
52,2025-04-22 07:23:31,2025-04-22 07:50:31
13,2025-04-06 09:34:01,2025-04-06 10:10:01
30,2026-01-29 04:28:24,2026-01-29 04:38:24
4,2025-10-05 07:45:41,2025-10-05 08:13:41
90,2025-04-13 23:44:43,2025-04-14 00:07:43
83,2026-01-13 16:50:48,2026-01-13 17:02:48
8,2025-05-24 18:10:09,2025-05-24 18:33:09
11,2026-02-15 01:08:21,2026-02-15 01:22:21
13,2025-06-11 03:47:20,2025-06-11 04:01:20
7,2025-07-28 23:53:46,2025-07-29 00:06:46
25,2025-10-23 12:30:02,2025-10-23 12:51:02
56,2025-08-11 16:25:47,2025-08-11 16:46:47
65,2025-11-15 03:22:29,2025-11-15 03:47:29
66,2025-03-25 20:25:17,2025-03-25 20:39:17
11,2025-05-29 01:46:44,2025-05-29 02:07:44
45,2025-04-14 03:42:27,2025-04-14 04:10:27
90,2025-04-01 08:16:56,2025-04-01 08:44:56
4,2025-08-23 06:17:54,2025-08-23 06:46:54
84,2025-09-28 02:31:35,2025-09-28 03:01:35
53,2025-07-30 01:08:40,2025-07-30 01:31:40
39,2025-09-20 15:24:07,2025-09-20 15:42:07
40,2025-01-27 20:47:25,2025-01-27 21:02:25
6,2025-06-18 14:52:24,2025-06-18 15:19:24
